bairro_origem,bairro_destino,logradouro,observacao,peso
casa amarela,monteiro,rua santa isabel,,1.0
casa forte,parnamirim,avenida dezessete de agosto,,1.0
casa forte,santana,rua samuel de farias,,1.0
casa forte,poco,estrada das ubaias,,1.0
derby,ilha do retiro,rua sport club do recife,acesso via ponte prefeito lima e castro,1.0
derby,madalena,ponte estacio coimbra,acesso via rua doutor severino pinheiro,1.0
derby,gracas,rua das creoulas,,1.0
dois irmaos,caxanga,ponte volta ao mundo,acesso via rua manoel de medeiros,1.0
dois irmaos,sitio dos pintos,estrada dos pintos,,1.0
dois irmaos,guabiraba,estrada sitio sapucaia,,1.0
dois irmaos,corrego do jenipapo,avenida da recuperacao,,1.0
espinheiro,gracas,rua da hora,,1.0
gracas,madalena,ponte professor moraes rego,via rua joaquim nabuco,1.0
gracas,torre,ponte da torre,acesso via rua amelia,1.0
gracas,jaqueira,rua do futuro,,1.0
gracas,tamarineira,avenida conselheiro rosa e silva,,1.0
jaqueira,torre,,,1.0
jaqueira,santana,viaduto governador cordeiro farias,,1.0
jaqueira,parnamirim,avenida parnamirim,,1.0
jaqueira,tamarineira,avenida conselheiro rosa e silva,,1.0
monteiro,poco da panela,avenida dezessete de agosto,,1.0
monteiro,iputinga,ponte engenheiro jaime gusmao,,1.0
parnamirim,santana,rua igarassu,,1.0
parnamirim,tamarineira,rua padre roma,,1.0
poco da panela,santana,rua santanna,,1.0
poco da panela,cordeiro,,,1.0
poco da panela,iputinga,,,1.0
santana,torre,viaduto governador cordeiro farias,acesso via rua jose bonifacio,1.0
santana,cordeiro,,,1.0
sitio dos pintos,caxanga,rua manoel de medeiros,,1.0
tamarineira,alto jose do pinho,avenida norte,,1.0
tamarineira,mangabeira,avenida norte,,1.0
alto jose bonifacio,alto jose do pinho,rua corrego jose,,1.0
alto jose bonifacio,morro da conceicao,rua corrego do euclides,,1.0
alto jose bonifacio,vasco da gama,rua ary peter,,1.0
alto jose bonifacio,brejo do beberibe,rua ary peter,,1.0
mangabeira,alto jose do pinho,rua severino bernardo pereira,,1.0
alto jose do pinho,morro da conceicao,rua valeriano lobo,,1.0
morro da conceicao,vasco da gama,rua dois de fevereiro,,1.0
vasco da gama,brejo do beberibe,rua jose reboucas,,1.0
vasco da gama,nova descoberta,rua vasco da gama,,1.0
brejo da guabiraba,guabiraba,br-101,,1.0
brejo da guabiraba,passarinho,rua santa teresa,,1.0
brejo da guabiraba,brejo do beberibe,avenida vereador otacilio de azevedo,,1.0
brejo da guabiraba,nova descoberta,rua alto do reservatorio,,1.0
brejo da guabiraba,corrego do jenipapo,rua alto do reservatorio,,1.0
guabiraba,pau-ferro,estrada do orfanato,,1.0
guabiraba,passarinho,br-101,,1.0
guabiraba,corrego do jenipapo,estrada dos macacos,,1.0
macaxeira,nova descoberta,rua corrego da areia,,1.0
macaxeira,corrego do jenipapo,rua anita,,1.0
nova descoberta,corrego do jenipapo,rua alto da brasileira,,1.0
nova descoberta,brejo do beberibe,rua nova descoberta,,1.0
passarinho,brejo do beberibe,rua doutor antonio da rosa borges,,1.0
cordeiro,san martin,avenida general san martin,,1.0
cordeiro,prado,rua gregorio junior,,1.0
cordeiro,zumbi,avenida caxangá,,1.0
cordeiro,torroes,estrada do forte,,1.0
cordeiro,engenho do meio,rua miguel vieira ferreira,,1.0
cordeiro,iputinga,avenida caxanga,,1.0
cordeiro,torre,rua dianopolis,,1.0
ilha do retiro,afogados,estrada dos remedios,,1.0
iputinga,cidade universitaria,br-101,,1.0
iputinga,varzea,br-101,,1.0
iputinga,caxanga,avenida caxanga,,1.0
madalena,ilha do retiro,estarda dos remedios,,1.0
madalena,prado,rua carlos gomes,,1.0
madalena,zumbi,avenida caxanga,,1.0
madalena,torre,rua jose bonifacio,,1.0
prado,zumbi,rua austro costa,,1.0
prado,ilha do retiro,avenida engenheiro abdias de carvalho,,1.0
prado,afogados,rua cosme viana,,1.0
prado,bongi,avenida engenheiro brandao cavalcante,,1.0
prado,san martin,rua xavier sobrinho,,1.0
torre,zumbi,rua conde de iraja,acesso via praca professor barreto campelo,1.0
engenho do meio,torroes,rua lindolfo color,,1.0
engenho do meio,curado,br-101,,1.0
engenho do meio,cidade universitaria,br-101,,1.0
engenho do meio,iputinga,rua antonio curado,,1.0
torroes,san martin,avenida engenheiro abdias de carvalho,,1.0
torroes,curado,avenida engenheiro abdias de carvalho,,1.0
caxanga,varzea,rua ribeiro pessoa,,1.0
cidade universitaria,curado,avenida professor luiz freire,,1.0
varzea,cidade universitaria,rua amaro gomes poroca,,1.0
varzea,curado,rua ministro mario andreaza,,1.0
afogados,bongi,estrada do bongi,,1.0
afogados,mustardinha,rua joselandia,,1.0
afogados,mangueira,rua 21 de abril,,1.0
afogados,jiquia,rua sao miguel,,1.0
afogados,imbiribeira,avenida marechal mascarenhas de morais,,1.0
afogados,pina,,,1.0
bongi,mustardinha,avenida manoel goncalves da luz,,1.0
bongi,san martin,rua isaac markman,,1.0
mangueira,jiquia,avenida central,,1.0
mangueira,san martin,rua 21 de abril,,1.0
mangueira,mustardinha,rua joao elisio,,1.0
mustardinha,san martin,rua 21 de abril,,1.0
san martin,jiquia,rua tenente mindelo,,1.0
san martin,estancia,avenida joao cabral de melo neto,,1.0
san martin,curado,rua 21 de abril,,1.0
san martin,jardim sao paulo,avenida joao cabral de melo neto,,1.0
areias,estancia,avenida doutor jose rufino,,1.0
areias,jiquia,avenida tapajos,,1.0
areias,imbiribeira,ponte julia santiago,acesso via avenida tapajos,1.0
areias,ipsep,avenida recife,,1.0
areias,cacote,avenida recife,,1.0
areias,ibura,rua jurupata,,1.0
areias,barro,avenida doutor jose rufino,,1.0
areias,jardim sao paulo,avenida sao paulo,,1.0
cacote,ipsep,avenida recife,,1.0
cacote,ibura,rua dona ana aurora,,1.0
estancia,jardim sao paulo,rua senador alberto pasqualini,,1.0
estancia,jiquia,avenida doutor jose rufino,,1.0
jiquia,imbiribeira,ponte julia santiago,acesso via avenida tapajos,1.0
barro,jardim sao paulo,br-101,,1.0
barro,tejipio,rua do sancho,,1.0
barro,ibura,br-101,,1.0
barro,cohab,avenida engenheiro serra verde,,1.0
coqueiral,toto,rua paulino de farias,,1.0
coqueiral,tejipio,rua alcantara,,1.0
coqueiral,sancho,rua paulino de farias,,1.0
curado,jardim sao paulo,avenida piracicaba,,1.0
curado,sancho,avenida liberdade,,1.0
curado,toto,avenida liberdade,,1.0
curado,tejipio,avenida liberdade,,1.0
jardim sao paulo,tejipio,rua leandro barreto,,1.0
sancho,toto,rua do nascente,,1.0
sancho,tejipio,rua aprigio,,1.0
boa viagem,jordao,avenida marechal mascarenhas de morais,,1.0
boa viagem,ibura,avenida marechal mascarenhas de morais,,1.0
boa viagem,imbiribeira,avenida marechal mascarenhas de morais,,1.0
boa viagem,pina,avenida boa viagem,,1.0
brasilia teimosa,pina,rua eduardo jorge,,1.0
imbiribeira,pina,,,1.0
imbiribeira,ipsep,rua jean emile favre,,1.0
imbiribeira,ibura,avenida marechal mascarenhas de morais,,1.0
ipsep,ibura,rua sao nicolau,,1.0
ibura,jordao,avenida maria irene,,1.0
ibura,cohab,br-101,,1.0
jordao,cohab,br-101,,1.0
